Category,Equipment Name,Included in OCHRE,Inrush_increase,Inrush_duration_sec,Voltage_drop_percent,Reference,Notes
HVAC,ASHP Heater Single Speed,Yes,7.5,0.45,0.085,NREL Lab Data; Carrier/Bryant Tech Sheets,
HVAC,ASHP Heater Two Speed,Yes,4.5,0.3,0.05,DOE HVAC Test Procedures; Trane/Goodman Specs,
HVAC,ASHP Variable Speed,Yes,2.25,0.175,0.025,Lennox Lab Testing; ASHRAE Journals; Modern Appliance Survey – Lab Data,
HVAC,ASHP Cooler Single Speed,Yes,7.5,0.45,0.085,NREL Lab Data; Carrier/Bryant Tech Sheets,
HVAC,ASHP Cooler Two Speed,Yes,4.5,0.3,0.05,DOE HVAC Test Procedures; Trane/Goodman Specs,
HVAC,ASHP Cooler Variable Speed,Yes,2.25,0.175,0.025,Lennox Lab Testing; ASHRAE Journals; Modern Appliance Survey – Lab Data,
HVAC,Air Conditioner Single Speed,Yes,7.5,0.45,0.085,NREL Lab Data; Carrier/Bryant Tech Sheets,
HVAC,Air Conditioner Two Speed,Yes,4.5,0.3,0.05,DOE HVAC Test Procedures; Trane/Goodman Specs,
HVAC,Air Conditioner Variable Speed,Yes,2.25,0.175,0.025,Lennox Lab Testing; ASHRAE Journals; Modern Appliance Survey – Lab Data,
HVAC,MSHP Heater,Yes,3,0.3,0.04,Fujitsu & Mitsubishi Test Reports; Field Studies,
HVAC,MSHP Cooler,Yes,3,0.3,0.04,Fujitsu & Mitsubishi Test Reports; Field Studies,
HVAC,Fans,Yes,4,0.2,0.035,HVAC Field Data; Utility Residential End-Use Measurement Study (REUMS),
HVAC,Window AC,Yes,7.5,0.35,0.075,WO2015053547A1 Patent; IEC TR 61000-3-7,
Water Heating,Heat Pump Water Heater,Yes,4.5,0.3,0.03,NEEA Field Test Data; Rheem/Ruud HPWH Specs; NREL Smart Load Research,
Appliances,Refrigerator,Yes,6.5,0.2,0.055,"Elphick et al. (2021); DOE Appliance Testing Manual, Akpojedje, 2017",
Appliances,extra_refrigerator,Yes,6.5,0.2,0.055,"Elphick et al. (2021); DOE Appliance Testing Manual, Akpojedje, 2017",
Appliances,freezer,Yes,6.5,0.2,0.055,"Elphick et al. (2021); DOE Appliance Testing Manual, Akpojedje, 2017",
Appliances,Washing Machine,Yes,5,0.4,0.065,Ji et al. (2018); IEEE Trans. on Energy Conversion,
Appliances,Dishwasher,Yes,2.5,0.2,0.03,IEEE Power & Energy Magazine,
Appliances,Clothes Dryer,Yes,4,0.3,0.05,Harmonic Modeling – Singhal et al. (2021),
Appliances,Induction Cooktop,Yes,3,0.15,0.03,Appliance Energy Data by NIST,
