ResStock Annual,ResStock Timeseries,ResStock Timeseries Unit,OCHRE
,Time,,Time
,TimeDST,,
,TimeUTC,,
Energy Use: Total (MBtu),Energy Use: Total,kBtu,
Energy Use: Net (MBtu),Energy Use: Net,kBtu,
Fuel Use: Electricity: Total (MBtu),Fuel Use: Electricity: Total,kWh,Total Electric Power (kW)
Fuel Use: Electricity: Net (MBtu),Fuel Use: Electricity: Net,kWh,
End Use: Electricity: PV (MBtu),End Use: Electricity: PV,kWh,PV Electric Power (kW)
End Use: Electricity: Heating (MBtu),End Use: Electricity: Heating,kWh,HVAC Heating Electric Power (kW)
End Use: Electricity: Heating Fans/Pumps (MBtu),End Use: Electricity: Heating Fans/Pumps,kWh,HVAC Heating Fan Power (kW)
End Use: Electricity: Heating Heat Pump Backup (MBtu),End Use: Electricity: Heating Heat Pump Backup,kWh,HVAC Heating ER Power (kW)
End Use: Electricity: Heating Heat Pump Backup Fans/Pumps (MBtu),End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,kWh,
End Use: Electricity: Cooling (MBtu),End Use: Electricity: Cooling,kWh,HVAC Cooling Electric Power (kW)
End Use: Electricity: Cooling Fans/Pumps (MBtu),End Use: Electricity: Cooling Fans/Pumps,kWh,HVAC Cooling Fan Power (kW)
End Use: Electricity: Hot Water Recirc Pump (MBtu),End Use: Electricity: Hot Water Recirc Pump,kWh,
End Use: Electricity: Hot Water (MBtu),End Use: Electricity: Hot Water,kWh,Water Heating Electric Power (kW)
End Use: Electricity: Lighting Interior (MBtu),End Use: Electricity: Lighting Interior,kWh,Indoor Lighting Electric Power (kW)
End Use: Electricity: Lighting Exterior (MBtu),End Use: Electricity: Lighting Exterior,kWh,Exterior Lighting Electric Power (kW)
End Use: Electricity: Lighting Garage (MBtu),End Use: Electricity: Lighting Garage,kWh,Garage Lighting Electric Power (kW)
End Use: Electricity: Mech Vent (MBtu),End Use: Electricity: Mech Vent,kWh,Ventilation Fan Electric Power (kW)
End Use: Electricity: Refrigerator (MBtu),End Use: Electricity: Refrigerator,kWh,Refrigerator Electric Power (kW)
End Use: Electricity: Freezer (MBtu),End Use: Electricity: Freezer,kWh,Freezer Electric Power (kW)
End Use: Electricity: Dishwasher (MBtu),End Use: Electricity: Dishwasher,kWh,Dishwasher Electric Power (kW)
End Use: Electricity: Clothes Washer (MBtu),End Use: Electricity: Clothes Washer,kWh,Clothes Washer Electric Power (kW)
End Use: Electricity: Clothes Dryer (MBtu),End Use: Electricity: Clothes Dryer,kWh,Clothes Dryer Electric Power (kW)
End Use: Electricity: Range/Oven (MBtu),End Use: Electricity: Range/Oven,kWh,Cooking Range Electric Power (kW)
End Use: Electricity: Ceiling Fan (MBtu),End Use: Electricity: Ceiling Fan,kWh,Ceiling Fan Electric Power (kW)
End Use: Electricity: Television (MBtu),End Use: Electricity: Television,kWh,TV Electric Power (kW)
End Use: Electricity: Plug Loads (MBtu),End Use: Electricity: Plug Loads,kWh,MELs Electric Power (kW)
End Use: Electricity: Pool Heater (MBtu),End Use: Electricity: Pool Heater,kWh,Pool Heater Electric Power (kW)
End Use: Electricity: Pool Pump (MBtu),End Use: Electricity: Pool Pump,kWh,Pool Pump Electric Power (kW)
End Use: Electricity: Permanent Spa Heater (MBtu),End Use: Electricity: Permanent Spa Heater,kWh,Spa Heater Electric Power (kW)
End Use: Electricity: Permanent Spa Pump (MBtu),End Use: Electricity: Permanent Spa Pump,kWh,Spa Pump Electric Power (kW)
End Use: Electricity: Well Pump (MBtu),End Use: Electricity: Well Pump,kWh,Well Pump Electric Power (kW)
End Use: Electricity: Electric Vehicle Charging (MBtu),End Use: Electricity: Electric Vehicle Charging,kWh,EV Electric Power (kW)
End Use: Electricity: Battery (MBtu),End Use: Electricity: Battery,kWh,
End Use: Electricity: Dehumidifier (MBtu),End Use: Electricity: Dehumidifier,kWh,
End Use: Electricity: Generator (MBtu),End Use: Electricity: Generator,kWh,
End Use: Electricity: Hot Water Solar Thermal Pump (MBtu),End Use: Electricity: Hot Water Solar Thermal Pump,kWh,
End Use: Electricity: Mech Vent Precooling (MBtu),End Use: Electricity: Mech Vent Precooling,kWh,
End Use: Electricity: Mech Vent Preheating (MBtu),End Use: Electricity: Mech Vent Preheating,kWh,
End Use: Electricity: Whole House Fan (MBtu),End Use: Electricity: Whole House Fan,kWh,
Fuel Use: Natural Gas: Total (MBtu),Fuel Use: Natural Gas: Total,kBtu,Total Gas Power (therms/hour)
End Use: Natural Gas: Heating (MBtu),End Use: Natural Gas: Heating,kBtu,HVAC Heating Gas Power (therms/hour)
End Use: Natural Gas: Hot Water (MBtu),End Use: Natural Gas: Hot Water,kBtu,Water Heating Gas Power (therms/hour)
End Use: Natural Gas: Clothes Dryer (MBtu),End Use: Natural Gas: Clothes Dryer,kBtu,Clothes Dryer Gas Power (therms/hour)
End Use: Natural Gas: Range/Oven (MBtu),End Use: Natural Gas: Range/Oven,kBtu,Cooking Range Gas Power (therms/hour)
End Use: Natural Gas: Pool Heater (MBtu),End Use: Natural Gas: Pool Heater,kBtu,Pool Heater Gas Power (therms/hour)
End Use: Natural Gas: Permanent Spa Heater (MBtu),End Use: Natural Gas: Permanent Spa Heater,kBtu,Spa Heater Gas Power (therms/hour)
End Use: Natural Gas: Grill (MBtu),End Use: Natural Gas: Grill,kBtu,Gas Grill Gas Power (therms/hour)
End Use: Natural Gas: Fireplace (MBtu),End Use: Natural Gas: Fireplace,kBtu,Gas Fireplace Gas Power (therms/hour)
End Use: Natural Gas: Lighting (MBtu),End Use: Natural Gas: Lighting,kBtu,Gas Lighting Gas Power (therms/hour)
End Use: Natural Gas: Generator (MBtu),End Use: Natural Gas: Generator,kBtu,Gas Generator Gas Power (therms/hour)
End Use: Natural Gas: Heating Heat Pump Backup (MBtu),End Use: Natural Gas: Heating Heat Pump Backup,kBtu,
End Use: Natural Gas: Mech Vent Preheating (MBtu),End Use: Natural Gas: Mech Vent Preheating,kBtu,
Fuel Use: Propane: Total (MBtu),Fuel Use: Propane: Total,kBtu,
End Use: Propane: Heating (MBtu),End Use: Propane: Heating,kBtu,
End Use: Propane: Hot Water (MBtu),End Use: Propane: Hot Water,kBtu,
End Use: Propane: Clothes Dryer (MBtu),End Use: Propane: Clothes Dryer,kBtu,
End Use: Propane: Range/Oven (MBtu),End Use: Propane: Range/Oven,kBtu,
End Use: Propane: Grill (MBtu),End Use: Propane: Grill,kBtu,
