Index,Location,State,Latitude,Longitude,Heating Design Temp,Heating Seasonal Temp,Cooling Design Temp,Cooling Seasonal Temp,Wdesign,Wseasonal,Windesign,Winseasonal,Design hout,Seasonal hout,Design hin,Seasonal hin
1,Adak,AK,51.883,-176.65,23,39,,,,,,,,,,
2,Annette,AK,55.05,-131.567,17,40,70,70,0.0084,0.0094,0.0073,0.0078,26,28,27,27
3,Bethel,AK,60.783,-161.833,-24,16,68,68,0.0078,0.0067,0.0071,0.0067,25,25,27,26
4,BigDelta,AK,64,-145.717,-39,8,75,75,0.0062,0.0073,0.0065,0.0069,25,26,26,26
5,Fairbanks,AK,64.817,-147.85,-31,2,79,79,0.0076,0.0067,0.007,0.0067,27,25,26,26
6,Gulkana,AK,62.15,-145.45,-39,11,75,75,0.0073,0.0061,0.0069,0.0065,26,25,26,26
7,Homer,AK,59.65,-151.483,4,30,63,63,0.0079,0.0094,0.0072,0.0078,24,27,27,27
8,Juneau,AK,58.35,-134.583,7,34,70,70,0.0084,0.0078,0.0074,0.0071,26,26,27,27
9,King Salmon,AK,58.683,-156.65,-19,21,66,66,0.0071,0.0102,0.0068,0.0081,24,29,26,28
10,Kodiak,AK,57.75,-152.5,11,36,64,64,0.0074,0.0115,0.007,0.0086,24,30,26,28
11,McGrath,AK,62.95,-155.6,-41,6,73,73,0.0066,0.007,0.0066,0.0068,25,25,26,26
12,Nome,AK,64.517,-165.45,-26,15,64,64,,,,,,,19,19
13,Yakutat,AK,59.517,-139.633,2,33,63,63,0.0077,0.0063,0.0071,0.0065,23,24,26,26
14,Birmingham,AL,33.567,-86.75,21,43,91,82,0.0151,0.0143,0.01,0.0097,39,35,30,29
15,Mobile,AL,30.633,-88.067,30,49,91,82,0.0167,0.0157,0.0107,0.0103,40,37,30,30
16,Montgomery,AL,32.3,-86.4,27,45,93,83,0.0147,0.015,0.0099,0.01,39,36,30,30
17,Fort Smith,AR,35.333,-94.367,19,39,95,85,0.0143,0.0148,0.0097,0.0099,39,37,29,30
18,Little Rock,AR,34.75,-92.233,21,40,95,84,0.0159,0.0159,0.0103,0.0103,40,38,30,30
19,Phoenix,AZ,33.45,-111.983,38,49,107,91,0.0085,0.0079,0.0074,0.0071,35,31,27,27
20,Prescott,AZ,34.65,-112.417,20,38,91,82,0.0044,0.0071,0.0058,0.0068,27,27,25,26
21,Tucson,AZ,32.133,-110.95,34,48,102,87,0.0044,0.0076,0.0057,0.007,29,29,25,26
22,Yuma,AZ,32.667,-114.6,44,52,109,92,0.0094,0.0091,0.0078,0.0076,37,32,27,27
23,Bakersfield,CA,35.433,-119.05,35,48,102,87,0.0082,0.0076,0.0073,0.007,34,29,27,26
24,Burbank,CA,34.2,-118.35,41,53,95,82,0.0085,0.0089,0.0074,0.0076,32,30,27,27
25,Dagget,CA,34.85,-116.8,32,47,106,90,0.006,0.0065,0.0064,0.0066,32,29,26,26
26,Fresno,CA,36.783,-119.717,32,47,100,88,0.0086,0.008,0.0074,0.0072,34,30,27,27
27,Long Beach,CA,33.833,-118.167,42,55,88,79,0.0088,0.0101,0.0075,0.008,31,30,27,28
28,Los Angeles,CA,33.933,-118.4,45,56,81,75,0.0092,0.0102,0.0077,0.0081,29,29,27,28
29,Point Mugu,CA,34.117,-119.117,41,54,79,75,0.0096,0.0091,0.0078,0.0077,29,28,27,27
30,Sacramento,CA,38.7,-121.583,33,48,97,86,0.0081,0.0086,0.0072,0.0074,32,30,27,27
31,San Diego,CA,32.817,-117.133,42,57,88,76,0.0101,0.0103,0.0081,0.0081,32,29,28,28
32,SanFrancisc,CA,37.617,-122.4,39,51,79,77,0.0073,0.0073,0.0069,0.0069,27,27,26,26
33,Santa Maria,CA,34.917,-120.467,35,49,82,77,0.0076,0.0071,0.007,0.0069,28,26,26,26
34,Colorado Springs,CO,38.817,-104.717,4,35,88,81,0.003,0.0072,0.0052,0.0069,24,27,24,26
35,Denver,CO,39.833,-104.65,3,33,90,82,0.0037,0.0061,0.0055,0.0064,26,26,25,26
36,Eagle,CO,39.65,-106.917,-7,28,86,80,0.0034,0.0069,0.0054,0.0068,24,27,25,26
37,GrandJunction,CO,39.133,-108.533,7,34,93,84,0.004,0.0059,0.0056,0.0064,27,27,25,26
38,Pueblo,CO,38.283,-104.5,5,32,95,84,0.0047,0.0069,0.0059,0.0067,28,28,25,26
39,Hartford,CT,41.933,-72.683,6,33,88,81,0.0129,0.0117,0.0092,0.0087,35,32,29,28
40,Washington,DC,38.91,-77.04,20,37,93,81,0.0147,0.0137,0.0099,0.0095,39,35,30,29
41,Wilmington,DE,39.667,-75.6,14,37,90,80,0.014,0.0129,0.0096,0.0091,37,33,29,29
42,Apalachicola,FL,29.73,-84.98,35,50,90,82,0.0188,0.0168,0.0115,0.0107,42,38,31,30
43,Daytona,FL,29.183,-81.067,37,51,90,80,0.0171,0.0159,0.0109,0.0104,40,37,31,30
44,Jacksonville,FL,30.5,-81.7,32,44,93,82,0.0163,0.0155,0.0105,0.0102,40,37,30,30
45,Miami,FL,25.817,-80.3,50,54,90,80,0.0171,0.016,0.0109,0.0104,40,37,31,30
46,Orlando,FL,28.433,-81.333,42,53,93,82,0.0163,0.0154,0.0105,0.0102,40,37,30,30
47,Tallahassee,FL,30.38,-84.37,28,46,93,81,0.0163,0.0154,0.0105,0.0102,40,36,30,30
48,Tampa,FL,27.967,-82.533,40,52,91,81,0.0167,0.0157,0.0107,0.0103,40,37,30,30
49,West PalmBeach,FL,26.683,-80.1,47,54,90,80,0.0171,0.0159,0.0109,0.0104,40,37,31,30
50,Augusta,GA,33.367,-81.967,25,43,93,82,0.0147,0.0146,0.0099,0.0098,39,36,30,29
51,Atlanta,GA,33.633,-84.433,23,43,91,80,0.0136,0.014,0.0094,0.0096,37,35,29,29
52,Macon,GA,32.683,-83.65,27,44,93,83,0.0147,0.0143,0.0099,0.0097,39,35,30,29
53,Savanah,GA,32.117,-81.2,29,45,93,81,0.0163,0.0152,0.0105,0.0101,40,36,30,30
54,Barberspoint,HI,21.317,-158.067,61,62,90,78,0.014,0.0142,0.0096,0.0097,37,34,29,29
55,Hilo,HI,19.717,-155.05,63,64,84,77,0.0152,0.0144,0.0101,0.0098,37,34,30,29
56,Honolulu,HI,21.317,-157.933,63,64,88,79,0.0144,0.0132,0.0098,0.0093,37,33,29,29
57,Lihue,HI,21.983,-159.333,62,63,84,77,0.0168,0.0146,0.0107,0.0099,39,35,30,30
58,Burlington,IA,40.783,-91.117,1,31,91,80,0.0151,0.0142,0.01,0.0097,39,35,30,29
59,DesMoines,IA,41.533,-93.667,-4,29,90,81,0.014,0.0129,0.0096,0.0091,37,33,29,29
60,MasonCity,IA,43.15,-93.333,-10,26,88,80,0.0144,0.0132,0.0098,0.0093,37,34,29,29
61,Sioux City,IA,42.383,-96.383,-6,27,90,82,0.014,0.0145,0.0096,0.0098,37,35,29,29
62,Boise,ID,43.62,-116.21,9,38,93,84,0.0052,0.0062,0.0061,0.0065,28,27,25,26
63,Lewiston,ID,46.367,-117.017,15,39,93,84,0.0064,0.0065,0.0065,0.0066,29,27,26,26
64,Pocatello,ID,42.917,-112.567,0,32,90,83,0.0048,0.0058,0.0059,0.0063,27,26,25,26
65,Chicago,IL,41.983,-87.917,3,33,90,81,0.014,0.0115,0.0096,0.0086,37,32,29,28
66,Moline,IL,41.467,-90.517,-3,31,90,81,0.014,0.0133,0.0096,0.0093,37,34,29,29
67,Springfield,IL,39.85,-89.683,2,33,91,81,0.0151,0.0131,0.01,0.0093,39,34,30,29
68,Evansville,IN,38.05,-87.533,9,37,91,81,0.0151,0.0137,0.01,0.0095,39,35,30,29
69,FortWayne,IN,41,-85.2,2,32,88,79,0.0144,0.0129,0.0098,0.0091,37,33,29,29
70,Indianapolis,IN,39.717,-86.267,3,33,88,80,0.0144,0.0131,0.0098,0.0092,37,34,29,29
71,South Bend,IN,41.7,-86.333,3,33,88,80,0.0129,0.0123,0.0092,0.0089,35,33,29,28
72,Dodge City,KS,37.767,-99.967,6,35,97,85,0.0094,0.0111,0.0078,0.0084,34,33,27,28
73,Goodland,KS,39.367,-101.7,2,33,93,85,0.0076,0.0095,0.007,0.0078,31,31,26,27
74,Kansas City,KS,39.1,-94.58,4,34,93,83,0.0147,0.0141,0.0099,0.0096,39,35,30,29
75,Topeka,KS,39.067,-95.633,4,32,93,82,0.0147,0.0145,0.0099,0.0098,39,36,30,29
76,Wichita,KS,37.65,-97.433,8,34,97,85,0.0123,0.0133,0.0089,0.0093,37,35,28,29
77,Lexington,KY,38.033,-84.6,10,36,88,80,0.0144,0.0138,0.0098,0.0095,37,34,29,29
78,Louisville,KY,38.183,-85.733,11,37,90,82,0.0155,0.0136,0.0102,0.0095,39,35,30,29
79,BatonRouge,LA,30.533,-91.15,30,48,91,82,0.0167,0.016,0.0107,0.0104,40,37,30,30
80,Lake Charles,LA,30.117,-93.233,32,48,91,82,0.0167,0.0164,0.0107,0.0105,40,38,30,30
81,Neworleans,LA,30,-90.25,39,49,91,81,0.0167,0.0162,0.0107,0.0105,40,37,30,30
82,Shreveport,LA,32.45,-93.817,26,46,95,83,0.0159,0.0155,0.0103,0.0102,40,37,30,30
83,Boston,MA,42.367,-71.017,12,37,88,80,0.0129,0.0111,0.0092,0.0084,35,31,29,28
84,Baltimore,MD,39.167,-76.683,15,37,91,81,0.0136,0.0133,0.0094,0.0093,37,34,29,29
85,Patuxent River,MD,38.3,-76.417,21,41,90,80,0.0155,0.0142,0.0102,0.0097,39,35,30,29
86,Bangor,ME,44.8,-68.817,-2,29,84,78,0.011,0.0101,0.0084,0.008,32,30,28,28
87,Caribou,ME,46.867,-68.033,-10,25,82,77,0.0101,0.0099,0.008,0.008,31,29,28,27
88,Portland,ME,43.65,-70.3,2,32,82,77,0.0127,0.0114,0.0091,0.0086,34,31,29,28
89,Alpena,MI,45.067,-83.583,-1,29,84,79,0.011,0.0119,0.0084,0.0088,32,32,28,28
90,Detroit,MI,42.4,-83,5,34,88,80,0.0129,0.0215,0.0092,0.0126,35,43,29,33
91,Flint,MI,42.967,-83.75,3,31,86,79,0.0133,0.0116,0.0093,0.0086,35,32,29,28
92,GrandRapids,MI,42.883,-85.517,5,32,86,80,0.0133,0.0121,0.0093,0.0088,35,32,29,28
93,Sault Saint Marie,MI,46.467,-84.35,-7,25,81,78,0.0118,0.0118,0.0087,0.0087,32,32,28,28
94,Traverse City,MI,44.733,-85.583,2,30,86,80,0.0119,0.0115,0.0088,0.0086,34,32,28,28
95,Duluth,MN,46.833,-92.217,-16,22,81,78,0.0105,0.0111,0.0082,0.0084,31,31,28,28
96,International Falls,MN,48.567,-93.4,-23,17,82,77,0.0101,0.0107,0.008,0.0083,31,30,28,28
97,Minneapolis,MN,44.883,-93.233,-11,24,88,81,0.0129,0.0125,0.0092,0.009,35,33,29,29
98,Rochester,MN,43.9,-92.5,-12,25,86,78,0.0133,0.0126,0.0093,0.009,35,33,29,29
99,Columbia,MO,38.817,-92.217,5,34,91,82,0.0151,0.0135,0.01,0.0094,39,34,30,29
100,Saint Louis,MO,38.75,-90.367,8,35,93,82,0.0147,0.0144,0.0099,0.0098,39,35,30,29
101,Springfield,MO,37.233,-93.383,9,37,91,81,0.0151,0.0147,0.01,0.0099,39,36,30,30
102,Jackson,MS,32.317,-90.083,25,48,93,81,0.0163,0.015,0.0105,0.01,40,36,30,30
103,Meridian,MS,32.333,-88.75,25,44,93,83,0.0163,0.0148,0.0105,0.0099,40,36,30,30
104,Billings,MT,45.8,-108.55,-7,29,90,82,0.006,0.0074,0.0064,0.007,28,28,26,26
105,Cut Bank,MT,48.6,-112.367,-16,26,84,79,0.0049,0.0067,0.006,0.0067,26,26,25,26
106,Glasgow,MT,48.217,-106.617,-17,22,90,83,0.006,0.0079,0.0064,0.0072,28,29,26,27
107,GreatFalls,MT,47.467,-111.383,-13,29,88,81,0.0052,0.0064,0.0061,0.0066,27,27,25,26
108,Helena,MT,46.6,-111.967,-10,29,88,82,0.0041,0.0058,0.0056,0.0063,26,26,25,26
109,Lewistown,MT,47.05,-109.45,-12,30,86,81,0.0056,0.0083,0.0062,0.0073,27,29,26,27
