Name,Single_1,Double_1,Double_2,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_T,-0.30428,-0.42738,0.04232,-0.145056995,1.210429908,0.701830645,-0.747987826
b_eir_T,0.11805,0.14191,0.07892,0.062239559,-0.076844452,-0.049235917,0.099914996
c_eir_T,-0.00342,-0.00412,-0.00238,-0.001909533,0.001516582,0.001264825,-0.002727895
d_eir_T,-0.00626,-0.01406,-0.00304,-0.012608055,-0.002526116,0.031408426,0.026966547
e_eir_T,0.0007,0.00083,0.00053,0.001059183,0.00072148,0.000362267,0.00025133
f_eir_T,-0.00047,-0.00043,-0.00032,-0.000331199,-0.000160382,-0.001105073,-0.000601973
a_EIR_FF,1.32299905,1.562945114,1.31565404,1,1,1,1
b_EIR_FF,-0.477711207,-0.791859997,-0.482467162,0,0,0,0
c_EIR_FF,0.154712157,0.230030877,0.166239001,0,0,0,0
a_Qcap_T,1.5509,1.66458,1.36788,1.790226089,1.189356223,-0.300216326,0.962249881
b_Qcap_T,-0.07505,-0.08039,-0.06257,-0.077214698,-0.025189861,0.119456223,-0.003908709
c_Qcap_T,0.0031,0.0033,0.0028,0.002995488,0.00180131,-0.001862843,0.001329347
d_Qcap_T,0.0024,0.00124,0.00504,0.002627033,0.004151872,0.000730227,0.001607257
e_Qcap_T,-0.00005,-0.00003,-0.00007,-0.00006812,-0.00004333,-0.00003754,-0.00000008
f_Qcap_T,-0.00043,-0.00052,-0.00045,-0.000621059,-0.000685109,-0.000439113,-0.000654861
a_Qcap_FF,0.718605468,0.65673024,0.690334551,1,1,1,1
b_Qcap_FF,0.41009989,0.516470835,0.464383753,0,0,0,0
c_Qcap_FF,-0.128705457,-0.172887149,-0.154507638,0,0,0,0
min_Twb,13.88,13.88,13.88,13.88,13.88,13.88,13.88
max_Twb,23.88,23.88,23.88,23.88,23.88,23.88,23.88
min_Tdb,18.33,18.33,18.33,18.33,18.33,18.33,18.33
max_Tdb,51.66,51.66,51.66,51.66,51.66,51.66,51.66
