Seconds,Dryer_low_heat_1,Dryer_low_heat_2,Dryer_low_heat_3,Dryer_air_fluff,Dryer_extra_low_heat,Dryer_delicate,Dryer_cotton_cycle,Dryer_permanent_press,Dryer_high_heat_1,Dryer_high_heat_2
0,2.273692273,3.143496544,4.207421343,0.286498617,0.106100525,4.312036394,1.241501564,2.227500345,1.39982599,4.159319291
0.2,2.178812273,1.600786544,1.264701343,0.551438617,4.016379525,0.955920394,2.360691564,2.288560345,2.74132599,1.379789291
0.4,1.981172273,0.492336544,0.325275343,0.354128617,0.833799525,0.335329394,2.126931564,2.018370345,0.51490099,0.300488291
0.6,1.951622273,0.428986544,0.262230343,0.205407617,0.480617525,0.276881394,1.977891564,1.968790345,0.44531499,0.256160291
0.8,1.948012273,0.411918544,0.234977343,0.184067617,0.425473525,0.264404394,1.967381564,1.966820345,0.39837699,0.243354291
1,1.948992273,5.145086544,0.232678343,0.173561617,0.532807525,0.267359394,1.962131564,1.967150345,4.73306599,0.225294291
1.2,1.953262273,5.588856544,0.254678343,0.177173617,2.852119525,0.280165394,1.953591564,1.970430345,5.48669599,0.256816291
1.4,1.948992273,5.649576544,0.265842343,0.193588617,2.954199525,0.275240394,1.967711564,1.972080345,5.51557599,0.258458291
1.6,1.938492273,5.615116544,0.274051343,0.194244617,2.994249525,0.266374394,1.973621564,1.960260345,5.50080599,0.241384291
1.8,1.936522273,5.565876544,0.240231343,0.178814617,2.965689525,0.276225394,1.953591564,1.956650345,5.46995599,0.232846291
2,1.944072273,5.561946544,0.246798343,0.183410617,2.906279525,0.275568394,1.946041564,1.960910345,5.40889599,0.243025291
2.2,1.948342273,5.544216544,0.248111343,0.193916617,2.903659525,0.295598394,1.952611564,1.969780345,5.44106599,0.250906291
2.4,1.943742273,5.572776544,0.267156343,0.202124617,2.902339525,0.269986394,1.966721564,1.967150345,5.44369599,0.279801291
2.6,1.936852273,5.574086544,0.242857343,0.189320617,2.918099525,0.237150394,1.966721564,1.956320345,5.43450599,0.249921291
2.8,1.938492273,5.523536544,0.262230343,0.169293617,2.913829525,0.253568394,1.948011564,1.945480345,5.41382599,0.234817291
3,1.944732273,5.488746544,0.254678343,0.174546617,2.862299525,0.279508394,1.948671564,1.954350345,5.37935599,0.229563291
