Seconds,SmallBurner_Low_1,SmallBurner_Low_2,SmallBurner_Med_1,SmallBurner_Med_2,SmallBurner_High_1,SmallBurner_High_2,LargeBurner_Low_2,H1_AllBurners_High,AllBurners_High_2,WarmingZone_1,WarmingZone_2,Oven_Preheat_1,Oven_325F_1,Oven_350F_1,Oven_350F_Convect_1,Oven_Broil_1
0,1.15181,1.15256,1.16068,1.15617,1.13573,1.21167,2.68772,8.10823,0.847633,0.0966465,0.101881,3.43155,3.39609,1.44006,3.01132,2.75295
0.2,1.20598,1.21657,1.15608,1.15519,1.13605,1.20608,2.96902,8.10757,2.98609,0.0992729,0.101553,3.42925,3.39741,3.33667,3.38263,3.41185
0.4,1.20533,1.21526,1.1528,1.15519,1.13671,1.20214,2.9746,8.11151,3.05207,0.098288,0.100896,3.42794,3.39642,3.39511,3.39872,3.43844
0.6,1.20106,1.21066,1.14919,1.15486,1.13704,1.19919,2.96607,8.11118,3.0501,0.0992729,0.101224,3.42892,3.39806,3.39872,3.40135,3.44173
0.8,0.0703823,1.20475,1.14722,1.15617,1.13638,1.19591,2.95524,8.11512,3.04189,0.0992729,0.102209,3.43024,3.39938,3.3997,3.40364,3.44009
1,0,1.19983,1.14558,1.15617,1.13638,1.19328,2.9444,8.11709,3.0327,0.0989446,0.101553,3.42958,3.40003,3.40003,3.40299,3.44107
1.2,0,1.1972,1.14525,1.15617,1.13605,1.18967,2.93423,8.12169,3.02023,0.0989446,0.101224,3.42892,3.40036,3.39938,3.40397,3.4391
1.4,0,1.19327,1.14361,1.15519,1.13704,1.18868,2.9234,8.12399,3.01005,0.0989446,0.102209,3.42991,3.39839,3.40003,3.40496,3.4391
1.6,0,1.18965,1.14196,1.15617,1.13671,1.1877,2.91158,8.12497,2.99889,0.0992729,0.102537,3.42958,3.39806,3.39872,3.40529,3.4391
1.8,0,1.18834,1.14196,1.1565,1.13638,1.18704,2.90338,8.12235,2.98806,0.0989446,0.102537,3.42925,3.39708,3.39741,3.4043,3.43943
2,0,1.1844,1.14065,1.15683,1.13704,1.18573,2.89451,8.1207,2.9769,0.098288,0.102537,3.42761,3.39642,3.39675,3.40529,3.43943
2.2,0,1.18407,1.14032,1.15585,1.13704,1.1831,2.55282,8.11972,2.96837,0.098288,0.102209,3.42597,3.39708,3.39576,3.40529,3.4391
2.4,0,1.18407,1.13967,1.15519,1.13704,1.1831,0.100568,8.11972,3.68261,0.0979597,0.102209,3.42466,3.39806,3.39511,3.40496,3.43713
2.6,0,1.10727,1.13901,1.15617,1.13737,1.1831,0.0171959,8.11972,4.15133,0.0992729,0.101224,3.42301,3.39872,3.39379,3.40266,3.43877
2.8,0,0.0460807,1.13835,1.15716,1.13704,1.18211,0.0106312,8.11906,4.15822,0.0986163,0.101881,3.42006,3.40036,3.39511,3.40397,3.43844
3,0,0.0106312,1.13704,1.15617,1.1354,1.17883,0,8.1207,4.14969,0.098288,0.102209,3.42203,3.40102,3.39609,3.40364,3.4391
3.2,0,0,1.13704,1.1565,1.13573,1.17752,0,8.12038,4.14082,0.098288,0.101553,3.4217,3.40036,3.39576,3.40529,3.43877
