Temp (C),cp (J/g-C),Enthalpy (J/kg)
0.1,0.046513514,0
0.2,0.050416667,0.005041667
0.3,0.26525,0.031566667
0.4,0.513647059,0.082931373
0.5,0.675357143,0.150467087
0.6,0.8045,0.230917087
0.7,0.904846154,0.321401702
0.8,0.968133333,0.418215036
0.9,1.020666667,0.520281702
1,1.0632,0.626601702
1.1,1.096636364,0.736265339
1.2,1.117266667,0.847992005
1.3,1.132909091,0.961282914
1.4,1.1455,1.075832914
1.5,1.15975,1.191807914
1.6,1.163642857,1.3081722
1.7,1.168818182,1.425054018
1.8,1.171785714,1.54223259
1.9,1.172636364,1.659496226
2,1.175142857,1.777010512
2.1,1.174,1.894410512
2.2,1.174769231,2.011887435
2.3,1.174666667,2.129354101
2.4,1.173538462,2.246707948
2.5,1.174363636,2.364144311
2.6,1.174357143,2.481580026
2.7,1.172636364,2.598843662
2.8,1.172538462,2.716097508
2.9,1.171727273,2.833270235
3,1.1705,2.950320235
3.1,1.169090909,3.067229326
3.2,1.167,3.183929326
3.3,1.166181818,3.300547508
3.4,1.164230769,3.416970585
3.5,1.161166667,3.533087252
3.6,1.158461538,3.648933406
3.7,1.157363636,3.764669769
3.8,1.153461538,3.880015923
3.9,1.151090909,3.995125014
4,1.148571429,4.109982157
4.1,1.145545455,4.224536702
4.2,1.143230769,4.338859779
4.3,1.139727273,4.452832506
4.4,1.137923077,4.566624814
4.5,1.134636364,4.68008845
4.6,1.131214286,4.793209879
4.7,1.1278,4.905989879
4.8,1.1255,5.018539879
4.9,1.121545455,5.130694424
5,1.118384615,5.242532886
5.1,1.116545455,5.354187431
5.2,1.113384615,5.465525893
5.3,1.110090909,5.576534984
5.4,1.107076923,5.687242676
5.5,1.105545455,5.797797222
5.6,1.103214286,5.90811865
5.7,1.1004,6.01815865
5.8,1.097692308,6.127927881
5.9,1.096083333,6.237536214
6,1.092846154,6.34682083
6.1,1.089090909,6.455729921
6.2,1.087461538,6.564476075
6.3,1.084818182,6.672957893
6.4,1.082769231,6.781234816
6.5,1.079727273,6.889207543
6.6,1.077769231,6.996984466
6.7,1.075272727,7.104511739
6.8,1.072769231,7.211788662
6.9,1.071454545,7.318934116
7,1.069153846,7.425849501
7.1,1.067454545,7.532594956
7.2,1.065307692,7.639125725
7.3,1.063818182,7.745507543
7.4,1.062,7.851707543
7.5,1.060909091,7.957798452
7.6,1.058769231,8.063675375
7.7,1.057727273,8.169448102
7.8,1.055857143,8.275033817
7.9,1.0542,8.380453817
8,1.052642857,8.485718102
8.1,1.0511,8.590828102
8.2,1.049357143,8.695763817
8.3,1.047181818,8.800481999
8.4,1.046230769,8.905105076
8.5,1.044909091,9.009595985
8.6,1.043846154,9.1139806
8.7,1.042454545,9.218226055
