Name,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_T,0.966475473,0.966475473,0.966475473,0.966475473
b_eir_T,0.00591495,0.00591495,0.00591495,0.00591495
c_eir_T,0.000191202,0.000191202,0.000191202,0.000191202
d_eir_T,-0.012965668,-0.012965668,-0.012965668,-0.012965668
e_eir_T,0.00004225,0.00004225,0.00004225,0.00004225
f_eir_T,-0.000524003,-0.000524003,-0.000524003,-0.000524003
a_EIR_FF,1,1,1,1
b_EIR_FF,0,0,0,0
c_EIR_FF,0,0,0,0
a_Qcap_T,1.002928121,1.002928121,1.002928121,1.002928121
b_Qcap_T,-0.010386676,-0.010386676,-0.010386676,-0.010386676
c_Qcap_T,0,0,0,0
d_Qcap_T,0.025961538,0.025961538,0.025961538,0.025961538
e_Qcap_T,0,0,0,0
f_Qcap_T,0,0,0,0
a_Qcap_FF,1,1,1,1
b_Qcap_FF,0,0,0,0
c_Qcap_FF,0,0,0,0
