Name,Single_1,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_t,0.966475473,0.966475473,0.966475473,0.966475473,0.966475473
b_eir_t,0.00591495,0.00591495,0.00591495,0.00591495,0.00591495
c_eir_t,0.000191202,0.000191202,0.000191202,0.000191202,0.000191202
d_eir_t,-0.012965668,-0.012965668,-0.012965668,-0.012965668,-0.012965668
e_eir_t,0.00004225,0.00004225,0.00004225,0.00004225,0.00004225
f_eir_t,-0.000524003,-0.000524003,-0.000524003,-0.000524003,-0.000524003
a_eir_ff,-0.169542039,1,1,1,1
b_eir_ff,1.167269914,0,0,0,0
c_eir_ff,0,0,0,0,0
a_eir_plr,-0.169542039,-0.169542039,1,1,1
b_eir_plr,1.167269914,1.167269914,0,0,0
c_eir_plr,0,0,0,0,0
a_cap_t,1.002928121,1.002928121,1.002928121,1.002928121,1.002928121
b_cap_t,-0.010386676,-0.010386676,-0.010386676,-0.010386676,-0.010386676
c_cap_t,0,0,0,0,0
d_cap_t,0.025961538,0.025961538,0.025961538,0.025961538,0.025961538
e_cap_t,0,0,0,0,0
f_cap_t,0,0,0,0,0
a_cap_ff,1,1,1,1,1
b_cap_ff,0,0,0,0,0
c_cap_ff,0,0,0,0,0
min_ff,0.37778,0,0,0,0
max_ff,1,1,1,1,1
min_plf,0.2195476,0.2195476,1,1,1
max_plf,1,1,1,1,1
