building_id,case,circuit_pause,circuit_share,circuit_pause_name,secondary_cs_load_name,primary_cs_load_name,panel_management_solution,least_lifecycle_cost_case,panel,circuit_pause_name2
7857,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
8890,1,0,1,,Water Heating,Clothes Dryer,True,True,125,
9709,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
9778,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
10280,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
10396,1,0,1,,Water Heating,Cooking Range,True,True,100,
10400,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
10924,1,0,1,,Water Heating,Cooking Range,True,True,100,
12565,1,0,1,,Clothes Dryer,Water Heating,True,True,125,
13471,1,0,1,,Water Heating,Cooking Range,True,True,100,
14281,1,0,1,,Water Heating,Cooking Range,True,True,60,
16384,1,0,1,,Water Heating,Cooking Range,True,True,100,
16410,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
17150,1,0,1,,Water Heating,Cooking Range,True,True,60,
17733,1,0,1,,Clothes Dryer,Cooking Range,True,True,200,
18664,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
27326,1,0,1,,Clothes Dryer,Cooking Range,True,True,60,
27773,1,0,1,,Clothes Dryer,Cooking Range,True,True,100,
28482,1,0,1,,Clothes Dryer,Water Heating,True,True,100,
19303,2,0,1,,Clothes Dryer,Cooking Range,True,True,100,
2120,5,0,1,,Clothes Dryer,Cooking Range,True,True,200,
15644,6,0,1,,Clothes Dryer,Cooking Range,True,True,100,
27242,6,0,1,,Clothes Dryer,Cooking Range,True,True,125,
1181,8,0,1,,Clothes Dryer,Cooking Range,True,True,200,
4318,8,0,1,,Clothes Dryer,Water Heating,True,True,100,
8692,8,0,1,,Clothes Dryer,Cooking Range,True,True,100,
11875,8,0,1,,Clothes Dryer,Water Heating,True,True,150,
13732,8,0,1,,Clothes Dryer,Water Heating,True,True,200,
14941,8,0,1,,Clothes Dryer,Cooking Range,True,True,100,
20436,8,0,1,,Clothes Dryer,Water Heating,True,True,200,
24981,8,0,1,,Clothes Dryer,Cooking Range,True,True,200,
19052,9,0,1,,Clothes Dryer,Cooking Range,True,True,100,
1365,10,0,1,,Clothes Dryer,Cooking Range,True,True,100,
4085,10,0,1,,Clothes Dryer,Cooking Range,True,True,125,
6422,10,0,1,,Clothes Dryer,Cooking Range,True,True,100,
6168,13,0,1,,Clothes Dryer,Cooking Range,True,True,100,
14367,13,0,1,,Clothes Dryer,Cooking Range,True,True,100,
14791,13,0,1,,Clothes Dryer,Cooking Range,True,True,100,
20794,13,0,1,,Clothes Dryer,Cooking Range,True,True,100,
3547,14,0,1,,Clothes Dryer,Cooking Range,True,True,125,
7052,14,0,1,,Clothes Dryer,Cooking Range,True,True,100,
22455,14,0,1,,Clothes Dryer,Cooking Range,True,True,150,
25558,14,0,1,,Clothes Dryer,Cooking Range,True,True,125,
638,15,0,1,,Clothes Dryer,Water Heating,True,True,200,
3384,15,0,1,,Clothes Dryer,Water Heating,True,True,100,
5596,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
5984,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
9718,15,0,1,,Clothes Dryer,Water Heating,True,True,100,
9895,15,0,1,,Clothes Dryer,Cooking Range,True,True,200,
10492,15,0,1,,Clothes Dryer,Cooking Range,True,True,125,
11683,15,0,1,,Clothes Dryer,Water Heating,True,True,200,
13783,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
14980,15,0,1,,Clothes Dryer,Cooking Range,True,True,125,
16038,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
23240,15,0,1,,Clothes Dryer,Cooking Range,True,True,125,
27141,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
29688,15,0,1,,Clothes Dryer,Cooking Range,True,True,100,
4282,16,0,1,,Clothes Dryer,Cooking Range,True,True,100,
18098,16,0,1,,Clothes Dryer,Cooking Range,True,True,100,
20895,16,0,1,,Clothes Dryer,Cooking Range,True,True,100,
21321,16,0,1,,Clothes Dryer,Cooking Range,True,True,100,
10745,17,0,1,,Clothes Dryer,Cooking Range,True,True,125,
11154,17,0,1,,Clothes Dryer,Cooking Range,True,True,200,
9069,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
9370,18,0,1,,Clothes Dryer,Cooking Range,True,True,125,
10083,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
11666,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
11935,18,0,1,,Clothes Dryer,Cooking Range,True,True,125,
15140,18,0,1,,Clothes Dryer,Cooking Range,True,True,125,
18298,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
20405,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
21581,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
24405,18,0,1,,Clothes Dryer,Cooking Range,True,True,100,
3363,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
6267,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
8468,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
15064,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
25791,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
26384,19,0,1,,Clothes Dryer,Cooking Range,True,True,100,
