Boundary Name,Boundary Type,Construction Type,Insulation Details,Received From,Assembly R Value,Finish Type
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000041,17.22171671216257,brick veneer
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000010,9.220526144852224,brick veneer
Exterior Wall,"ConcreteMasonryUnit, brick veneer, 6-in Hollow, Uninsulated",ConcreteMasonryUnit,"6-in Hollow, Uninsulated",MF_300 - bldg0000057,3.820995962314939,brick veneer
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000012,12.119530416221984,composite shingle siding
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000234,14.721285973554576,composite shingle siding
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000043,17.11787760024118,composite shingle siding
Exterior Wall,"ConcreteMasonryUnit, composite shingle siding, 6-in Hollow, Uninsulated",ConcreteMasonryUnit,"6-in Hollow, Uninsulated",MF_300 - bldg0000102,3.7232786885245903,composite shingle siding
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000049,11.72171758876961,fiber cement siding
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000018,14.3203026481715,fiber cement siding
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000258,16.719670200235573,fiber cement siding
Exterior Wall,"ConcreteMasonryUnit, fiber cement siding, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000118,8.720626631853785,fiber cement siding
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000047,11.519578007709477,none
Exterior Wall,"ConcreteMasonryUnit, none, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_300 - bldg0000145,8.521686927810295,none
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_100 - bldg0000007,11.72171758876961,stucco
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000129,14.3203026481715,stucco
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000022,16.719670200235573,stucco
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, R-7",ConcreteMasonryUnit,"6-in Hollow, R-7",MF_100 - bldg0000111,8.720626631853785,stucco
Exterior Wall,"ConcreteMasonryUnit, stucco, 6-in Hollow, Uninsulated",ConcreteMasonryUnit,"6-in Hollow, Uninsulated",MF_300 - bldg0000148,3.322410766530134,stucco
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-11",ConcreteMasonryUnit,"6-in Hollow, R-11",MF_300 - bldg0000141,12.119530416221984,vinyl siding
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-15",ConcreteMasonryUnit,"6-in Hollow, R-15",MF_300 - bldg0000071,14.721285973554576,vinyl siding
Exterior Wall,"ConcreteMasonryUnit, vinyl siding, 6-in Hollow, R-19",ConcreteMasonryUnit,"6-in Hollow, R-19",MF_300 - bldg0000171,17.11787760024118,vinyl siding
