Boundary Name,Boundary Type,Construction Type,Insulation Details,Received From,Assembly R Value,Finish Type
Garage Attached Wall,"StructuralBrick, none, 12-in, 3-wythe, R-19",StructuralBrick,"12-in, 3-wythe, R-19",MF_100 - bldg0000006,16.939140811455847,none
Garage Attached Wall,"StructuralBrick, none, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_100 - bldg0000018,3.539900249376558,none
Garage Attached Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-11",StructuralBrick,"12-in, 3-wythe, R-11",MF_100 - bldg0000108,12.137665669089351,stucco
Garage Attached Wall,"StructuralBrick, stucco, 12-in, 3-wythe, R-7",StructuralBrick,"12-in, 3-wythe, R-7",MF_100 - bldg0000014,9.138902301625624,stucco
Garage Attached Wall,"StructuralBrick, stucco, 12-in, 3-wythe, Uninsulated",StructuralBrick,"12-in, 3-wythe, Uninsulated",MF_300 - bldg0000289,3.740447957839262,stucco
Garage Attached Wall,"WoodStud, brick veneer, R-11",WoodStud,R-11,MF_100 - bldg0000017,9.63843150568664,brick veneer
Garage Attached Wall,"WoodStud, brick veneer, R-19",WoodStud,R-19,MF_100 - bldg0000058,14.736568907344928,brick veneer
Garage Attached Wall,"WoodStud, brick veneer, R-7",WoodStud,R-7,MF_100 - bldg0000098,8.037938844847112,brick veneer
Garage Attached Wall,"WoodStud, brick veneer, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000073,2.7390255668113843,brick veneer
Garage Attached Wall,"WoodStud, composite shingle siding, R-11",WoodStud,R-11,MF_100 - bldg0000019,9.538048043003526,composite shingle siding
Garage Attached Wall,"WoodStud, composite shingle siding, R-19",WoodStud,R-19,MF_100 - bldg0000026,14.637793245681875,composite shingle siding
Garage Attached Wall,"WoodStud, stucco, R-11",WoodStud,R-11,MF_100 - bldg0000039,9.138902301625624,stucco
Garage Attached Wall,"WoodStud, stucco, R-19",WoodStud,R-19,MF_100 - bldg0000074,14.237713139418254,stucco
Garage Attached Wall,"WoodStud, vinyl siding, R-11",WoodStud,R-11,MF_100 - bldg0000013,9.538048043003526,vinyl siding
Garage Attached Wall,"WoodStud, vinyl siding, R-7",WoodStud,R-7,MF_100 - bldg0000003,7.937928142038305,vinyl siding
Garage Attached Wall,"WoodStud, vinyl siding, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000031,2.639702463970247,vinyl siding
Garage Attached Wall,"WoodStud, wood siding, R-11",WoodStud,R-11,MF_100 - bldg0000033,10.338674435542607,wood siding
Garage Attached Wall,"WoodStud, wood siding, R-15",WoodStud,R-15,MF_100 - bldg0000001,12.137665669089351,wood siding
Garage Attached Wall,"WoodStud, wood siding, R-19",WoodStud,R-19,MF_100 - bldg0000028,15.43773790103317,wood siding
Garage Attached Wall,"WoodStud, wood siding, Uninsulated",WoodStud,Uninsulated,MF_100 - bldg0000087,3.4391278013325257,wood siding
Garage Ceiling,Standard,,,MF_100 - bldg0000003,0.5699086620495835,
Garage Floor,2ft R10 Exterior,,2ft R10 Exterior,copied from Floor,8.350026906372001,
Garage Floor,"2ft R10 Perimeter, R5 Gap",,2ft R10 Perimeter,copied from Floor,6.657035770547999,
Garage Floor,2ft R5 Exterior,,2ft R5 Exterior,copied from Floor,6.882918392398,
Garage Floor,"2ft R5 Perimeter, R5 Gap",,2ft R5 Perimeter,copied from Floor,6.225268096490001,
Garage Floor,"4ft R10 Perimeter, R5 Gap",,4ft R10 Perimeter,copied from Floor,8.31726337577,
Garage Floor,"4ft R5 Perimeter, R5 Gap",,4ft R5 Perimeter,copied from Floor,7.344564593902,
Garage Floor,Minimal,,Minimal,Minimal_garage_R13 (OLD),498.83249842321396,
Garage Floor,"R10 Whole Slab, R5 Gap",,R10 Whole Slab,copied from Floor,13.178706232526,
Garage Floor,Uninsulated,,Uninsulated,copied from Floor,3.8451581116240003,
Garage Furniture,Standard,,,MF_100 - bldg0000001,7.494720168954593,
Garage Interior Ceiling,Ceiling R-13,,Ceiling R-13,MF_100 - bldg0000065,15.9584035975267,
Garage Interior Ceiling,Ceiling R-19,,Ceiling R-19,MF_100 - bldg0000100,20.752923976608187,
Garage Interior Ceiling,Ceiling R-38,,Ceiling R-38,MF_300 - bldg0000058,33.2630345635618,
Garage Interior Ceiling,Uninsulated,,Uninsulated,MF_100 - bldg0000013,3.4600853138330283,
Garage Wall,"ConcreteMasonryUnit, asbestos siding",ConcreteMasonryUnit,,MF_300 - bldg0000036,3.1232123212321232,asbestos siding
Garage Wall,"ConcreteMasonryUnit, brick veneer",ConcreteMasonryUnit,,MF_300 - bldg0000189,3.1232123212321232,brick veneer
Garage Wall,"ConcreteMasonryUnit, stucco",ConcreteMasonryUnit,,MF_100 - bldg0000007,3.1232123212321232,stucco
Garage Wall,"ConcreteMasonryUnit, wood siding",ConcreteMasonryUnit,,MF_300 - bldg0000271,3.1232123212321232,wood siding
Garage Wall,"StructuralBrick, none",StructuralBrick,,MF_100 - bldg0000006,3.1232123212321232,none
Garage Wall,"StructuralBrick, stucco",StructuralBrick,,MF_100 - bldg0000014,3.1232123212321232,stucco
Garage Wall,"WoodStud, brick veneer",WoodStud,,MF_100 - bldg0000017,3.1232123212321232,brick veneer
Garage Wall,"WoodStud, composite shingle siding",WoodStud,,MF_100 - bldg0000019,3.1232123212321232,composite shingle siding
Garage Wall,"WoodStud, stucco",WoodStud,,MF_100 - bldg0000039,3.1232123212321232,stucco
Garage Wall,"WoodStud, vinyl siding",WoodStud,,MF_100 - bldg0000003,3.1232123212321232,vinyl siding
Garage Wall,"WoodStud, wood siding",WoodStud,,MF_100 - bldg0000001,3.1232123212321232,wood siding
Indoor Furniture,Standard,,,MF_100 - bldg0000001,7.494720168954593,
Interior Wall,Standard,,,MF_100 - bldg0000001,2.1880539499036606,
Raised Floor,Ceiling R-13,,Ceiling R-13,MF_100 - bldg0000024,16.680376028202115,
Raised Floor,Ceiling R-19,,Ceiling R-19,MF_300 - bldg0000184,21.4750378214826,
Raised Floor,Ceiling R-30,,Ceiling R-30,MF_300 - bldg0000155,29.177800616649535,
Raised Floor,Ceiling R-38,,Ceiling R-38,MF_300 - bldg0000007,33.97965290245362,
Raised Floor,Minimal,,Minimal,Fully_minimal (Denver),498.76352598000005,
Raised Floor,Uninsulated,,Uninsulated,MF_100 - bldg0000044,4.181148748159057,
Rim Joist,"aluminum siding, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000014,12.221265604821353,aluminum siding
Rim Joist,"aluminum siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000176,12.6712787324258,aluminum siding
Rim Joist,"aluminum siding, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000109,17.22171671216257,aluminum siding
Rim Joist,"aluminum siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000016,7.221162406206282,aluminum siding
Rim Joist,"aluminum siding, Uninsulated",,Uninsulated,MF_300 - bldg0000205,2.222309197651663,aluminum siding
Rim Joist,"asbestos siding, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000105,12.221265604821353,asbestos siding
Rim Joist,"asbestos siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000161,12.6712787324258,asbestos siding
Rim Joist,"asbestos siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000160,7.221162406206282,asbestos siding
Rim Joist,"asbestos siding, Uninsulated",,Uninsulated,MF_300 - bldg0000036,2.222309197651663,asbestos siding
Rim Joist,"brick veneer, R-10, Exterior",,"R-10, Exterior",MF_100 - bldg0000058,12.319375135604252,brick veneer
Rim Joist,"brick veneer, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000193,12.771030139451192,brick veneer
Rim Joist,"brick veneer, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000033,17.321537522879805,brick veneer
Rim Joist,"brick veneer, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000059,7.321727917472598,brick veneer
Rim Joist,"brick veneer, Uninsulated",,Uninsulated,MF_100 - bldg0000008,2.322290388548057,brick veneer
Rim Joist,"composite shingle siding, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000043,12.221265604821353,composite shingle siding
Rim Joist,"composite shingle siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000162,12.6712787324258,composite shingle siding
Rim Joist,"composite shingle siding, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000012,17.22171671216257,composite shingle siding
Rim Joist,"composite shingle siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000157,7.221162406206282,composite shingle siding
Rim Joist,"composite shingle siding, Uninsulated",,Uninsulated,MF_100 - bldg0000019,2.222309197651663,composite shingle siding
Rim Joist,"fiber cement siding, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000135,11.821778055382053,fiber cement siding
Rim Joist,"fiber cement siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000064,12.271450183704344,fiber cement siding
Rim Joist,"fiber cement siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000061,6.82123978856319,fiber cement siding
Rim Joist,"fiber cement siding, Uninsulated",,Uninsulated,MF_300 - bldg0000068,1.822792937399679,fiber cement siding
Rim Joist,"none, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000080,16.621779859484775,none
Rim Joist,"none, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000145,6.621574344023323,none
Rim Joist,"none, Uninsulated",,Uninsulated,MF_100 - bldg0000010,1.6227493569591311,none
Rim Joist,"stucco, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000127,11.821778055382053,stucco
Rim Joist,"stucco, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000074,12.271450183704344,stucco
Rim Joist,"stucco, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000186,16.81872037914692,stucco
Rim Joist,"stucco, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000058,6.82123978856319,stucco
Rim Joist,"stucco, Uninsulated",,Uninsulated,MF_100 - bldg0000037,1.822792937399679,stucco
Rim Joist,"vinyl siding, R-10, Exterior",,"R-10, Exterior",MF_300 - bldg0000255,12.221265604821353,vinyl siding
Rim Joist,"vinyl siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000026,12.6712787324258,vinyl siding
Rim Joist,"vinyl siding, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000040,17.22171671216257,vinyl siding
Rim Joist,"vinyl siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000179,7.221162406206282,vinyl siding
Rim Joist,"vinyl siding, Uninsulated",,Uninsulated,MF_100 - bldg0000003,2.222309197651663,vinyl siding
Rim Joist,"wood siding, R-10, Exterior",,"R-10, Exterior",MF_100 - bldg0000030,13.01994955285485,wood siding
Rim Joist,"wood siding, R-13, Interior",,"R-13, Interior",MF_300 - bldg0000069,13.470937129300118,wood siding
Rim Joist,"wood siding, R-15, Exterior",,"R-15, Exterior",MF_300 - bldg0000094,18.01967629324024,wood siding
Rim Joist,"wood siding, R-5, Exterior",,"R-5, Exterior",MF_300 - bldg0000063,8.020906907755332,wood siding
Rim Joist,"wood siding, Uninsulated",,Uninsulated,MF_100 - bldg0000002,3.0218201170835552,wood siding
Roof,Minimal,,Minimal,Fully_minimal (OLD),499.1095827166759,
Roof,R-30,,R-30,Fully_minimal (DC),29.786007513476,
Roof,"asphalt or fiberglass shingles, Finished, R-13, Flat",Flat,"Finished, R-13",MF_300 - bldg0000045,13.33489901362142,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-19, Flat",Flat,"Finished, R-19",MF_100 - bldg0000081,20.2352102637206,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-30, Flat",Flat,"Finished, R-30",MF_300 - bldg0000035,28.734817813765183,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-30, Pitched",Pitched,"Finished, R-30",MF_100 - bldg0000100,28.778509883426253,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-38, Flat",Flat,"Finished, R-38",MF_100 - bldg0000035,35.53191489361702,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-38, Pitched",Pitched,"Finished, R-38",MF_100 - bldg0000086,35.576441102756895,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-49, Flat",Flat,"Finished, R-49",MF_300 - bldg0000052,46.01296596434359,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, R-7, Flat",Flat,"Finished, R-7",MF_300 - bldg0000010,9.23552374756018,asphalt or fiberglass shingles
Roof,"asphalt or fiberglass shingles, Finished, Uninsulated, Flat",Flat,"Finished, Uninsulated",MF_100 - bldg0000061,2.737704918032787,asphalt or fiberglass shingles
Roof,"metal surfacing, Finished, R-30, Flat",Flat,"Finished, R-30",MF_300 - bldg0000216,28.734817813765183,metal surfacing
Roof,"metal surfacing, Finished, R-30, Pitched",Pitched,"Finished, R-30",MF_300 - bldg0000184,28.778509883426253,metal surfacing
Roof,"metal surfacing, Finished, R-38, Flat",Flat,"Finished, R-38",MF_300 - bldg0000018,35.53191489361702,metal surfacing
Roof,"metal surfacing, Finished, R-38, Pitched",Pitched,"Finished, R-38",MF_300 - bldg0000155,35.576441102756895,metal surfacing
Roof,"metal surfacing, Finished, R-49, Flat",Flat,"Finished, R-49",MF_300 - bldg0000235,46.01296596434359,metal surfacing
Roof,"metal surfacing, Finished, Uninsulated, Flat",Flat,"Finished, Uninsulated",MF_300 - bldg0000200,2.737704918032787,metal surfacing
Roof,"metal surfacing, Finished, Uninsulated, Pitched",Pitched,"Finished, Uninsulated",MF_300 - bldg0000072,2.7888015717092336,metal surfacing
Roof,"slate or tile shingles, Finished, R-13, Flat",Flat,"Finished, R-13",MF_300 - bldg0000075,13.33489901362142,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-13, Pitched",Pitched,"Finished, R-13",MF_300 - bldg0000009,13.388351803819855,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-19, Flat",Flat,"Finished, R-19",MF_300 - bldg0000027,20.2352102637206,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-19, Pitched",Pitched,"Finished, R-19",MF_300 - bldg0000063,20.285816362986782,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-30, Flat",Flat,"Finished, R-30",MF_300 - bldg0000093,28.734817813765183,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-30, Pitched",Pitched,"Finished, R-30",MF_300 - bldg0000212,28.778509883426253,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-38, Flat",Flat,"Finished, R-38",MF_300 - bldg0000017,35.53191489361702,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-38, Pitched",Pitched,"Finished, R-38",MF_300 - bldg0000258,35.576441102756895,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-49, Flat",Flat,"Finished, R-49",MF_300 - bldg0000108,46.01296596434359,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-7, Flat",Flat,"Finished, R-7",MF_300 - bldg0000039,9.23552374756018,slate or tile shingles
Roof,"slate or tile shingles, Finished, R-7, Pitched",Pitched,"Finished, R-7",MF_300 - bldg0000081,9.288401766726649,slate or tile shingles
Roof,"slate or tile shingles, Finished, Uninsulated, Flat",Flat,"Finished, Uninsulated",MF_300 - bldg0000016,2.737704918032787,slate or tile shingles
Roof,"slate or tile shingles, Finished, Uninsulated, Pitched",Pitched,"Finished, Uninsulated",MF_300 - bldg0000037,2.7888015717092336,slate or tile shingles
Roof,"wood shingles or shakes, Finished, R-19, Pitched",Pitched,"Finished, R-19",MF_300 - bldg0000224,20.285816362986782,wood shingles or shakes
Roof,"wood shingles or shakes, Finished, R-30, Flat",Flat,"Finished, R-30",MF_300 - bldg0000099,28.734817813765183,wood shingles or shakes
Roof,"wood shingles or shakes, Finished, R-38, Pitched",Pitched,"Finished, R-38",MF_300 - bldg0000068,35.576441102756895,wood shingles or shakes
Roof,"wood shingles or shakes, Finished, R-49, Flat",Flat,"Finished, R-49",MF_300 - bldg0000042,46.01296596434359,wood shingles or shakes
Roof,"wood shingles or shakes, Finished, R-7, Flat",Flat,"Finished, R-7",MF_300 - bldg0000003,9.23552374756018,wood shingles or shakes
Roof,"wood shingles or shakes, Finished, Uninsulated, Flat",Flat,"Finished, Uninsulated",MF_300 - bldg0000006,2.737704918032787,wood shingles or shakes
