Boundary Name,Boundary Type,Construction Type,Insulation Details,Material Name,Thickness (m),Conductivity (W/m-K),Density (kg/m^3),Specific Heat (kJ/kg-K),Resistance (m^2-K/W),Capacitance (kJ/m^2-K),Received From,Specific Heat (J/kg-K)
Adjacent Attic Wall,Standard,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Attic Wall,Standard,,,WALL STUD AND CAVITY,0.1397,0.394,139.054,,0.3549,22.7328605968244,,1170.238
Adjacent Ceiling,Standard,,,CEILING STUD AND CAVITY,0.0889,1.052,20.986,,0.08452,2.0292006180194004,,1087.661
Adjacent Ceiling,Standard,,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Adjacent Floor,Standard,,,FLOOR STUD AND CAVITY,0.0889,2.003,50.327,,0.04437,4.759560725843,,1063.81
Adjacent Floor,Standard,,,FLOOR COVERING,0.0127,9.016,54.468,,0.001409,0.926825745024,,1339.84
Adjacent Foundation Wall,Crawlspace,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Foundation Wall,Crawlspace,,,WALL LAYER,0.1524,56.523,2242.8,,0.002696,286.225597728,,837.4
Adjacent Foundation Wall,Finished Basement,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Foundation Wall,Finished Basement,,,WALL LAYER,0.1524,56.523,2242.8,,0.002696,286.225597728,,837.4
Adjacent Foundation Wall,Finished Basement,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Adjacent Foundation Wall,Unfinished Basement,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Foundation Wall,Unfinished Basement,,,WALL LAYER,0.1524,56.523,2242.8,,0.002696,286.225597728,,837.4
Adjacent Rim Joist,Standard,,,RIM JOIST STUD AND CAVITY,0.0508,0.109,50.327,,0.4649,2.719748986196,,1063.81
Adjacent Wall,ConcreteMasonryUnit,,,WALL RIGID INS,0.0072,0.029,32.04,,0.245,0.2801082902399999,,1214.23
Adjacent Wall,ConcreteMasonryUnit,,,CONCRETE BLOCK,0.1524,0.747,1892.443,,0.2041,241.80758636145725,,838.421
Adjacent Wall,ConcreteMasonryUnit,,,GYPSUM BOARD,0.0025,0.16,801.0,,0.01585,1.6768935,,837.4
Adjacent Wall,StructuralBrick,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Wall,StructuralBrick,,,WALL LAYER,0.2032,0.737,1762.2,,0.2756,284.8626186912,,795.53
Adjacent Wall,StructuralBrick,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Adjacent Wall,WoodStud,,,OSB SHEATHING 0.5 IN.,0.0127,0.115,512.64,,0.11,7.905278413439999,,1214.23
Adjacent Wall,WoodStud,,,WALL STUD AND CAVITY,0.1397,0.507,139.054,,0.2756,22.7328605968244,,1170.238
Adjacent Wall,WoodStud,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,Minimal,,Minimal,CEILING LOOSEFILL INS,0.4233,0.048,16.02,1046.75,8.804,7.098290186,Fully_minimal (Denver),
Attic Floor,Minimal,,Minimal,CEILING STUD AND CAVITY,0.1397,0.002,65.682,1177.466,78.89,10.80416356,Fully_minimal (Denver),
Attic Floor,Minimal,,Minimal,GYPSUM BOARD 1,0.0127,0.16,801.0,837.4,0.0792,8.51861898,Fully_minimal (Denver),
Attic Floor,R-13,,,CEILING LOOSEFILL INS,0.0847,0.048,16.02,,1.761,1.4203287945,,1046.75
Attic Floor,R-13,,,CEILING STUD AND CAVITY,0.1397,0.303,65.682,,0.4613,10.804163557136398,,1177.466
Attic Floor,R-13,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-19,,,CEILING LOOSEFILL INS,0.0847,0.048,16.02,,1.761,1.4203287945,,1046.75
Attic Floor,R-19,,,CEILING STUD AND CAVITY,0.1397,0.092,65.682,,1.518,10.804163557136398,,1177.466
Attic Floor,R-19,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-30,,,CEILING LOOSEFILL INS,0.1693,0.048,16.02,,3.522,2.8389806955000005,,1046.75
Attic Floor,R-30,,,CEILING STUD AND CAVITY,0.1397,0.082,65.682,,1.694,10.804163557136398,,1177.466
Attic Floor,R-30,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-38,,,CEILING LOOSEFILL INS,0.254,0.048,16.02,,5.282,4.259309490000001,,1046.75
Attic Floor,R-38,,,CEILING STUD AND CAVITY,0.1397,0.104,65.682,,1.342,10.804163557136398,,1177.466
Attic Floor,R-38,,,GYPSUM BOARD,0.0127,0.16,801.0,,0.07923,8.51861898,,837.4
Attic Floor,R-49,,,CEILING LOOSEFILL INS,0.3387,0.048,16.02,,7.043,5.679638284500001,,1046.75
