Name,Single_1,Double_1,Double_2,Variable_1,Variable_2,Variable_3,Variable_4
a_eir_T,0.716518071,0.539472334,0.787746797,0.466648487,0.450656859,0.572518011,0.668195855
b_eir_T,0.010275901,0.016510315,-0.000652315,0.020263329,0.029290264,0.022896249,0.014671955
c_eir_T,0.000460734,0.000838745,0.000788668,0.001268392,0.000393145,0.000266019,0.000445963
d_eir_T,-0.006480365,-0.00403234,-0.002320906,-0.017016133,-0.009789518,-0.010667543,-0.011439229
e_eir_T,0.000456354,0.001424042,0.000747604,0.003174996,0.000539369,0.000490922,0.000497103
f_eir_T,-0.00069764,-0.002118063,-0.001091731,-0.003496096,-0.001180883,-0.000681369,-0.000690956
a_EIR_FF,2.185418751,2.153618211,2.001041353,1,1,1,1
b_EIR_FF,-1.942827919,-1.737190609,-1.58869128,0,0,0,0
c_EIR_FF,0.757409168,0.584269478,0.587593517,0,0,0,0
a_Qcap_T,0.878143655,0.84077409,0.831506971,0.893321032,0.923734534,0.96205422,0.936079154
b_Qcap_T,-0.002914855,-0.001433659,0.001839217,-0.009733743,-0.005970776,-0.009492778,-0.005481564
c_Qcap_T,-0.00003337,-0.00015034,-0.0001876,0.00006364,0,0.00010921,-0.00000859
d_Qcap_T,0.022386661,0.029628603,0.026600206,0.039113052,0.027816729,0.024707831,0.024910532
e_Qcap_T,0.000163944,0.000161676,0.000191484,-0.000002508,0.000065917,0.000034225,0.000053087
f_Qcap_T,-0.00002187,-0.00002349,-0.00006577,-0.00027259,-0.00018925,-0.0001257,-0.00015575
a_Qcap_FF,0.694045465,0.741466907,0.76634609,1,1,1,1
b_Qcap_FF,0.474207981,0.378645444,0.32840943,0,0,0,0
c_Qcap_FF,-0.168253446,-0.119754733,-0.094701495,0,0,0,0
min_Twb,-100,-100,-100,-100,-100,-100,-100
max_Twb,100,100,100,100,100,100,100
min_Tdb,-100,-100,-100,-100,-100,-100,-100
max_Tdb,100,100,100,100,100,100,100
