,vehicle_id,day_id,day_of_week,plug_id,plug_type,destination_type,destination_id,destination_category,destination_description,avg_power_kw,tou_participation,res_access,cbsa_code,cbsa_name,Capacity (kWh),County Type,start_time,duration,charge_time,total_charge,start_soc
32150,MY2030_BEV_SUV,300280061,2,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,555,345,345,7.245,93.83928571
32549,MY2030_BEV_SUV,303499322,6,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,540,450,450,9.45,91.96428571
32561,MY2030_BEV_SUV,401140151,2,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1156,868,868,18.228,84.5
32603,MY2030_BEV_SUV,403573431,3,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,620,250,250,5.25,95.53571429
32622,MY2030_BEV_SUV,302486691,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,660,1450,1450,30.45,74.10714286
32624,MY2030_BEV_SUV,301734222,3,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,670,332,332,6.972,94.07142857
32662,MY2030_BEV_SUV,407318902,3,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1030,860,860,18.06,84.64285714
32750,MY2030_BEV_SUV,401267843,2,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,992,888,888,18.648,84.14285714
32754,MY2030_BEV_SUV,301359684,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1013,1227,1227,25.767,78.08928571
32756,MY2030_BEV_SUV,302202271,3,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1090,80,80,1.68,98.57142857
32760,MY2030_BEV_SUV,402246931,2,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1005,900,900,18.9,83.92857143
32770,MY2030_BEV_SUV,302478531,2,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,680,1370,1370,28.77,75.53571429
32793,MY2030_BEV_SUV,301608511,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1310,700,700,14.7,87.5
32833,MY2030_BEV_SUV,402294041,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,697,101,101,2.121,98.19642857
32834,MY2030_BEV_SUV,402294041,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,885,195,195,4.095,96.51785714
32844,MY2030_BEV_SUV,304880122,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,825,1380,1380,28.98,75.35714286
32850,MY2030_BEV_SUV,403232391,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,770,120,120,2.52,97.85714286
32851,MY2030_BEV_SUV,403232391,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,912,1128,1128,23.688,79.85714286
32873,MY2030_BEV_SUV,406186711,3,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,750,1250,1250,26.25,77.67857143
32883,MY2030_BEV_SUV,304966351,4,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,1145,895,895,18.795,84.01785714
32896,MY2030_BEV_SUV,404299532,4,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,485,295,295,6.195,94.73214286
32897,MY2030_BEV_SUV,407217481,5,level_1,level_1,home,1,home,REGULAR_HOME_ACTIVITIES,1.26,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",117.6,Central,875,220,220,4.62,96.07142857
