,vehicle_id,day_id,day_of_week,plug_id,plug_type,destination_type,destination_id,destination_category,destination_description,avg_power_kw,tou_participation,res_access,cbsa_code,cbsa_name,Capacity (kWh),County Type,start_time,duration,charge_time,total_charge,start_soc
269455,MY2030_PHEV_SUV,300015062,3,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1070,815,71,8.52,42.43243243
269457,MY2030_PHEV_SUV,303482542,6,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1020,840,131,15.72,0
269459,MY2030_PHEV_SUV,404282851,2,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1195,685,131,15.72,0
269460,MY2030_PHEV_SUV,404405351,3,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,738,1221,131,15.72,0
269461,MY2030_PHEV_SUV,300801901,4,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,463,187,47,5.64,61.89189189
269463,MY2030_PHEV_SUV,300801901,4,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,942,125,125,15,0
269464,MY2030_PHEV_SUV,300801901,4,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1084,79,29,3.48,76.48648649
269467,MY2030_PHEV_SUV,305172891,5,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1105,765,131,15.72,0
269470,MY2030_PHEV_SUV,407641352,3,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,1314,506,104,12.48,15.67567568
269471,MY2030_PHEV_SUV,403473531,5,home_level_2,level_2,home,1,home,WORK_FROM_HOME,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,915,47,47,5.64,61.89189189
269472,MY2030_PHEV_SUV,403473531,5,home_level_2,level_2,home,1,home,REGULAR_HOME_ACTIVITIES,7.2,FALSE,TRUE,41860,"San Francisco-Oakland-Berkeley, CA Metropolitan Statistical Area",14.8,Central,990,1350,52,6.24,57.83783784
