lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.0491,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0491,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0491,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0491,0.503,0.503,0,0,0,0,0.465,0,0,0
0.0491,0.461,0.461,0.217,0,0,0,0.465,0,0,0
0.0826,0.503,0.503,0.55,0,0,0,0.516,0,0,0
0.251,0.601,0.601,0,0,0,0,0.617,0,0,0.106
0.313,0.657,0.657,0,0,0,0,0.68,0,0,0
0.19,0.475,0.475,0,0,0,0,0.579,0,0,0
0.195,0.322,0.322,0,0,0,0,0.579,0,0,0.0857
0.19,0.336,0.336,0,0,0,0,0.579,0,0,0.0857
0.184,0.35,0.35,0,0,0,0,0.585,0,0,0.0857
0.18,0.336,0.336,0,0.667,0,0,0.591,0.545,0,0.128
0.0491,0.392,0.392,0,0.133,0,0,0.465,0,0,0.171
0.0491,0.433,0.433,0,0,0,0,0.465,0,0,0.0857
0.185,0.447,0.447,0,0,0,0,0.597,0,0,0.171
0.361,0.545,0.545,0.767,0,0,0,0.755,0,0,0.0428
0.663,0.741,0.741,0,0,0,0,0.974,0,0,0
0.87,0.881,0.881,0,0.8,0,0,0.993,0.851,0,0.0857
1,0.937,0.937,0,0.417,0,0,0.937,0.5,0,0.3
0.934,0.993,0.993,0,0.383,0,0,0.88,0.432,0,0
0.735,0.965,0.965,0,0,0,0,0.843,0.47,0,0
0.44,0.825,0.825,0,0,0,0,0.655,0,0,0.38
0.115,0.699,0.699,0,0,0,0,0.535,0,0,0
0.0491,0.559,0.559,0,0,0,0,0.465,0,0,0.0428
0.0491,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0491,0.517,0.517,0,0,0,0,0.51,0,0,0
0.0491,0.503,0.503,0,0,0,0,0.504,0,0,0
0.0491,0.461,0.461,0,0,0,0,0.465,0,0,0.101
0.0826,0.503,0.503,0,0,0,0,0.516,0,0,0.415
0.251,0.601,0.601,0,0,0,0,0.617,0,0,0.0546
0.0491,0.657,0.657,0,0,0,0,0.465,0,0,0.0857
0.19,0.475,0.475,0,0.417,0,0,0.579,0.466,0,0.36
0.195,0.322,0.322,0,0.383,0,0,0.579,0.323,0,0.0857
0.0491,0.336,0.336,0,0,0,0,0.465,0,0,0.0428
0.0491,0.35,0.35,0,0,0,0,0.465,0,0,0.171
0.0491,0.336,0.336,0.25,0,0,0,0.465,0,0,0
0.178,0.392,0.392,0,0,0,0,0.591,0,0,0
0.179,0.433,0.433,0,0,0,0,0.585,0,0,0
