cooking_range,dishwasher,clothes_washer,clothes_dryer,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.467,0,0,0,0,0,0
0.3,0,0,0,0,0,0.106
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.0857
0,0.8,0,0,0.516,0,0.171
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0.128
0.217,0,0,0,0,0,0.0857
0.55,0,0,0,0,0,0.0428
0,0.167,0,0,0.234,0,0
0,0.633,0,0,0.572,0,0.128
0,0.667,0,0,0.548,0,0.257
0,0.133,0,0,0.503,0,0
0,0,0,0,0.277,0,0.175
0,0,0,0,0,0,0.205
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.285
0,0,0,0,0,0,0.231
0,0,0,0,0,0,0.0546
0,0,0,0,0,0,0.403
0,0.667,0,0,0.601,0,0.0428
0,0.133,0,0,0.146,0,0.128
0,0,0,0,0,0,0
0,0,0,0,0,0,0.171
0.25,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.453
0.717,0,0,0,0,0,0.357
0.05,0,0,0,0,0,0.109
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.0857
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.135
0,0,0,0,0,0,0.104
0,0,0,0,0,0,0.0889
0.467,0,0,0,0,0,0.168
0.567,0,0,0,0,0,0.0915
0,0,0,0,0,0,0.251
0,0,0,0,0,0,0.225
0,0,0,0,0,0,0.0603
0,0,0,0,0,0,0.467
0,0,0,0,0,0,0.491
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0
0.717,0,0,0,0,0,0.0857
0.833,0,0,0,0,0,0.171
0,0,0,0,0,0,0.0857
0.25,0,0,0,0,0,0.165
0,0,0,0,0,0,0.43
0,0,0,0,0,0,0.348
0,0,0,0,0,0,0
0,0,0,0,0,0,0.102
0,0,0,0,0,0,0.207
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.217,0,0,0,0,0,0.0851
0.55,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.206
0,0,0,0,0,0,0.167
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.257
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.217,0,0,0,0,0,0.214
1,0,0,0,0,0,0
0.333,0,0,0,0,0,0.0857
0,0,0,0,0,0,0.214
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.352
0,0,0,0,0,0,0.462
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.202
0.217,0,0,0,0,0,0.0995
0.0333,0,0,0,0,0,0.0882
0.217,0,0,0,0,0,0.193
0.817,0,0,0,0,0,0.113
0,0.917,0,0,0.648,0,0.156
0,0.15,0,0,0.0535,0,0.386
0,0,0,0,0,0,0.347
0,0,0,0,0,0,0.544
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.667,0,0,0.608,0,0.0428
0.467,0.133,0,0,0.358,0,0.257
0.3,0.417,0,0,0.39,0,0.128
0,0.65,0,0,0.166,0,0.315
0,0.667,0,0,0.494,0,0.128
0,0.133,0,0,0.229,0,0.0428
0,0,0,0,0,0,0.214
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.102
0,0,0,0,0,0,0.136
0,0,0,0,0,0,0.0984
0,0,0,0,0,0,0.135
0,0,0,0,0,0,0.432
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0428
0.133,0,0,0,0,0,0.0857
1,0,0,0,0,0,0.128
0.667,0,0,0,0,0,0.171
0,0,0,0,0,0,0
0,0,0,0,0,0,0.428
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.214
0,0,0,0,0,0,0.12
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.0818
0,0,0,0,0,0,0.0839
0,0,0,0,0,0,0.0608
0,0,0,0,0,0,0
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0.0428
0.25,0,0,0,0,0,0.0857
0,0,0,0,0,0,0.257
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0.214
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.129
0,0,0,0,0,0,0.116
0,0,0,0,0,0,0
0,0,0,0,0,0,0.155
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.467,0,0,0,0,0,0
0.3,0,0,0,0,0,0
0.767,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0.343
0,0,0,0,0,0,0.171
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.0931
0.767,0,0,0,0,0,0.238
0,0,0,0,0,0,0.171
0.967,0,0,0,0,0,0.182
0.317,0,0,0,0,0,0.0428
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.117
0,0,0,0,0,0,0.167
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.178
0.217,0,0,0,0,0,0.0984
0.3,0,0,0,0,0,0.0837
0.467,0,0,0,0,0,0.171
0.05,0,0,0,0,0,0
0,0,0.617,0,0,0.342,0.0857
0,0,0,0.267,0,0.458,0.0857
0,0,0,0,0,0.514,0.171
0,0,0,0,0,0.514,0.0857
0,0,0,0,0,0.608,0
0,0,0,0,0,0.54,0.0857
0,0,0,0,0,0.545,0
0,0,0,0,0,0.502,0.343
0,0,0,0,0,0.693,0.0428
0,0,0,0,0,0.42,0.0428
0,0,0,0,0,0.354,0.101
0,0,0,0,0,0.696,0
0,0,0,0,0,0.278,0.0857
0,0,0,0,0,0,0.128
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
