occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0982,0.0982,0,0,0,0,0.459,0.592,0.592,0,0,0.0499
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0343
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0343
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.19,0.19,0,0,0,0,0.33,0.579,0.579,0,0,0
1,0.195,0.195,0,0,0,0,0.279,0.579,0.579,0,0,0.171
1,0.332,0.332,0,0,0,0,0.31,0.692,0.692,0,0,0.133
1,0.319,0.319,0,0,0,0,0.319,0.705,0.705,0,0,0.206
1,0.441,0.441,0,0,0,0,0.336,0.843,0.843,0,0,0.0343
0.667,0.308,0.308,0,0,0,0,0.347,0.717,0.717,0,0,0
0.333,0.183,0.183,0,0,0,0,0.316,0.585,0.585,0,0,0.137
0,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
0.333,0.253,0.253,0,0,0,0,0.354,0.61,0.61,0,0,0.103
0.333,0.322,0.322,0.117,0,0,0,0.419,0.635,0.635,0,0,0.171
0.333,0.366,0.366,0.4,0,0,0,0.465,0.641,0.641,0,0,0.171
0.333,0.345,0.345,0,0,0,0,0.484,0.622,0.622,0,0,0.103
0.667,0.509,0.509,0,0,0,0,0.748,0.742,0.742,0,0,0
0.667,0.39,0.39,0,0,0,0,0.729,0.717,0.717,0,0,0.0686
0.667,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.309
0.667,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0343
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0343
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0491,0.0491,0,0,0,0,0.258,0.465,0.465,0,0,0.0797
1,0.332,0.332,0,0,0,0,0.403,0.692,0.692,0,0,0.155
1,0.486,0.486,0,0,0,0,0.322,0.806,0.806,0,0,0.365
0.333,0.19,0.19,0,0,0,0,0.284,0.579,0.579,0,0,0.015
0.333,0.184,0.184,0,0,0,0,0.288,0.585,0.585,0,0,0
0.667,0.311,0.311,0,0,0,0,0.31,0.717,0.717,0,0,0.24
0.667,0.179,0.179,0,0,0,0,0.302,0.591,0.591,0,0,0.0686
1,0.317,0.317,0.367,0,0,0,0.375,0.705,0.705,0,0,0.103
1,0.516,0.516,0.15,0,0,0,0.447,0.862,0.862,0,0,0.0343
0,0.0491,0.0491,0.517,0,0,0,0.258,0.465,0.465,0,0,0.137
