HVAC Name,HVAC Efficiency,Number of Speeds,Capacity Ratio 1,Air Flow Ratio 1,COP 1,Capacity Ratio 2,Air Flow Ratio 2,COP 2,Received From,SHR 1,SHR 2,Capacity Ratio 3,Air Flow Ratio 3,COP 3,Capacity Ratio 4,Air Flow Ratio 4,COP 4,SHR 3,SHR 4
ASHP Cooler,16.0 SEER,2,0.72,0.86,4.33748,1,1,3.99889,testing_500 - bldg0000005,0.71597,0.72878,,,,,,,,
ASHP Cooler,17.0 SEER,2,0.72,0.86,4.64342,1,1,4.29226,testing_500 - bldg0000021,0.71597,0.72878,,,,,,,,
ASHP Cooler,18.0 SEER,2,0.72,0.86,4.95399,1,1,4.59165,testing_500 - bldg0000036,0.71597,0.72878,,,,,,,,
ASHP Cooler,22.0 SEER,4,0.36,0.42,5.92545,0.51,0.54,6.14696,testing_500 - bldg0000134,0.87282,0.80463,0.67,0.68,5.98083,1,1,5.53781,0.79453,0.78453
ASHP Heater,10.0 HSPF,4,0.33,0.63,5.67112,0.56,0.76,4.84428,testing_500 - bldg0000134,,,1,1,4.09417,1.17,1.19,3.91175,,
ASHP Heater,8.7 HSPF,2,0.72,0.8,4.12879,1,1,3.5847,testing_500 - bldg0000021,,,,,,,,,,
ASHP Heater,9.0 HSPF,2,0.72,0.8,4.31947,1,1,3.81925,testing_500 - bldg0000005,,,,,,,,,,
ASHP Heater,9.3 HSPF,2,0.72,0.8,4.51448,1,1,4.06822,testing_500 - bldg0000036,,,,,,,,,,
MSHP Cooler,14.5 SEER,4,0.48889,0.52941,4.36175,0.66667,0.64706,3.77512,testing_500 - bldg0000120,0.86256,0.7987,0.84444,0.76471,3.17313,1.2,1,2.34548,0.75709,0.70255
MSHP Cooler,17.0 SEER,4,0.48889,0.52941,5.13687,0.66667,0.64706,4.44548,testing_500 - bldg0000378,0.86256,0.7987,0.84444,0.76471,3.73585,1.2,1,2.76069,0.75709,0.70255
MSHP Cooler,24.0 SEER,4,0.48889,0.52941,7.964232567,0.66667,0.64706,6.884431597,Manual,0.86256,0.7987,0.84444,0.76471,5.769690221,1.2,1,4.253150569,0.75709,0.70255
MSHP Cooler,29.3 SEER,4,0.48889,0.52941,9.054697497,0.66667,0.64706,7.831549963,Manual,0.86256,0.7987,0.84444,0.76471,6.574710549,1.2,1,4.851991362,0.75709,0.70255
MSHP Cooler,33.0 SEER,4,0.48889,0.52941,10.26831,0.66667,0.64706,8.87966,testing_500 - bldg0000183,0.86256,0.7987,0.84444,0.76471,7.45227,1.2,1,5.49732,0.75709,0.70255
MSHP Heater,8.2 HSPF,4,0.4,0.55556,4.19929,0.6,0.66667,3.36672,testing_500 - bldg0000120,,,0.8,0.77778,3.08195,1.2,1,2.79114,,
MSHP Heater,9.5 HSPF,4,0.4,0.55556,5.14266,0.6,0.66667,4.12161,testing_500 - bldg0000378,,,0.8,0.77778,3.77355,1.2,1,3.41917,,
MSHP Heater,13.0 HSPF,4,0.4,0.55556,7.893351479,0.6,0.66667,6.282661747,Manual,,,0.8,0.77778,5.758473142,1.2,1,5.2460162,,
MSHP Heater,13.3 HSPF,4,0.4,0.55556,7.74616,0.6,0.66667,6.20218,testing_500 - bldg0000183,,,0.8,0.77778,5.68075,1.2,1,5.15429,,
MSHP Heater,14.0 HSPF,4,0.4,0.55556,8.399982335,0.6,0.66667,6.724045293,Manual,,,0.8,0.77778,6.159368877,1.2,1,5.590475552,,
