Category,OCHRE Name,OCHRE Units,OS-HPXML Name,OS-HPXML Units,Eplus Detailed Name,Eplus Detailed Units,Verbosity,Description,Notes
Dwelling,Total Electric Power (kW),kW,Fuel Use: Electricity: Total,kW,Electricity:Facility [J](Hourly),J/hour,1,Total dwelling real electric power,
HVAC Heating,HVAC Heating Electric Power (kW),kW,"['End Use: Electricity: Heating', 'End Use: Electricity: Heating Fans/Pumps']",kW,BASEBOARD:Baseboard Electricity Energy [J](Hourly),J/hour,2?,Real electric power from HVAC heating equipment,
HVAC Heating,HVAC Heating Main Power (kW),kW,End Use: Electricity: Heating,kW,BASEBOARD:Baseboard Electricity Energy [J](Hourly),J/hour,,,
HVAC Heating,HVAC Heating ER Power (kW),kW,,,,,,,
HVAC Heating,HVAC Heating Fan Power (kW),kW,End Use: Electricity: Heating Fans/Pumps,kW,,,,,
HVAC Cooling,HVAC Cooling Electric Power (kW),kW,"['End Use: Electricity: Cooling', 'End Use: Electricity: Cooling Fans/Pumps']",kW,"['CENTRAL AC CLG COIL:Cooling Coil Electricity Energy [J](Hourly), 'CENTRAL AC CLG COIL:Cooling Coil Crankcase Heater Electricity Energy [J](Hourly)']",J/hour,,,
HVAC Cooling,HVAC Cooling Main Power (kW),kW,End Use: Electricity: Cooling,kW,CENTRAL AC CLG COIL:Cooling Coil Electricity Energy [J](Hourly),J/hour,,,
HVAC Cooling,HVAC Cooling Fan Power (kW),kW,End Use: Electricity: Cooling Fans/Pumps,kW,EMS:central ac supply fan clg disaggregate [J](Hourly),J/hour,,,
Water Heating,Water Heating Electric Power (kW),kW,End Use: Electricity: Hot Water,kW,,,,,
EV,EV Electric Power (kW),kW,End Use: Electricity: Electric Vehicle Charging,kW,,,,,
PV,PV Electric Power (kW),kW,End Use: Electricity: PV,kW,,,,,
Battery,Battery Electric Power (kW),kW,,,,,,,
Gas Generator,Gas Generator Electric Power (kW),kW,End Use: Electricity: Generator,kW,,,,,
Lighting,Lighting Electric Power (kW),kW,"['End Use: Electricity: Lighting Interior', 'End Use: Electricity: Lighting Garage', 'End Use: Electricity: Lighting Exterior']",kW,,,,,
Lighting,Indoor Lighting Electric Power (kW),kW,,,,,,,"Only Indoor Lighting for OCHRE, ResStock/E+ include Basement Lighting"
Lighting,Basement Lighting Electric Power (kW),kW,,,,,,,
Lighting,Garage Lighting Electric Power (kW),kW,End Use: Electricity: Lighting Garage,kW,,,,,
Lighting,Exterior Lighting Electric Power (kW),kW,End Use: Electricity: Lighting Exterior,kW,,,,,
