SOC,V_oc,U_neg
0,3,1.2868
0.1,3.4679,0.242
0.2,3.5394,0.1818
0.3,3.595,0.1488
0.4,3.6453,0.1297
0.5,3.6876,0.123
0.6,3.7469,0.1181
0.7,3.84,0.1061
0.8,3.9521,0.0925
0.9,4.0668,0.0876
1,4.1934,0.0859
