Time,Water Heating (L/min),Zone Temperature (C),Mains Temperature (C)
1/1/2018 0:00,6.435200033,20,7
1/1/2018 0:01,6.435200033,20,7
1/1/2018 0:02,6.435200033,20,7
1/1/2018 0:03,6.435200033,20,7
1/1/2018 0:04,6.435200033,20,7
1/1/2018 0:05,6.435200033,20,7
1/1/2018 0:06,6.435200033,20,7
1/1/2018 0:07,6.435200033,20,7
1/1/2018 0:08,5.299576498,20,7
1/1/2018 0:09,0,20,7
1/1/2018 0:10,0,20,7
1/1/2018 0:11,0,20,7
1/1/2018 0:12,0,20,7
1/1/2018 0:13,0,20,7
1/1/2018 0:14,0,20,7
1/1/2018 0:15,0,20,7
1/1/2018 0:16,0,20,7
1/1/2018 0:17,0,20,7
1/1/2018 0:18,0,20,7
1/1/2018 0:19,0,20,7
1/1/2018 0:20,0,20,7
1/1/2018 0:21,0,20,7
1/1/2018 0:22,0,20,7
1/1/2018 0:23,0,20,7
1/1/2018 0:24,0,20,7
1/1/2018 0:25,0,20,7
1/1/2018 0:26,0,20,7
1/1/2018 0:27,0,20,7
1/1/2018 0:28,0,20,7
1/1/2018 0:29,0,20,7
1/1/2018 0:30,3.785411784,20,7
1/1/2018 0:31,3.785411784,20,7
1/1/2018 0:32,0,20,7
1/1/2018 0:33,0,20,7
1/1/2018 0:34,0,20,7
1/1/2018 0:35,0,20,7
1/1/2018 0:36,0,20,7
1/1/2018 0:37,0,20,7
1/1/2018 0:38,0,20,7
1/1/2018 0:39,0,20,7
1/1/2018 0:40,0,20,7
1/1/2018 0:41,0,20,7
1/1/2018 0:42,0,20,7
1/1/2018 0:43,0,20,7
1/1/2018 0:44,0,20,7
1/1/2018 0:45,0,20,7
1/1/2018 0:46,0,20,7
1/1/2018 0:47,0,20,7
1/1/2018 0:48,0,20,7
1/1/2018 0:49,0,20,7
1/1/2018 0:50,0,20,7
1/1/2018 0:51,0,20,7
1/1/2018 0:52,0,20,7
1/1/2018 0:53,0,20,7
1/1/2018 0:54,0,20,7
1/1/2018 0:55,0,20,7
1/1/2018 0:56,0,20,7
1/1/2018 0:57,0,20,7
1/1/2018 0:58,0,20,7
1/1/2018 0:59,0,20,7
1/1/2018 1:00,0,20,7
1/1/2018 1:01,0,20,7
1/1/2018 1:02,0,20,7
1/1/2018 1:03,0,20,7
1/1/2018 1:04,0,20,7
1/1/2018 1:05,0,20,7
1/1/2018 1:06,0,20,7
1/1/2018 1:07,0,20,7
1/1/2018 1:08,0,20,7
1/1/2018 1:09,0,20,7
1/1/2018 1:10,0,20,7
1/1/2018 1:11,0,20,7
1/1/2018 1:12,0,20,7
1/1/2018 1:13,0,20,7
1/1/2018 1:14,0,20,7
1/1/2018 1:15,0,20,7
1/1/2018 1:16,0,20,7
1/1/2018 1:17,0,20,7
1/1/2018 1:18,0,20,7
1/1/2018 1:19,0,20,7
1/1/2018 1:20,0,20,7
1/1/2018 1:21,0,20,7
1/1/2018 1:22,0,20,7
1/1/2018 1:23,0,20,7
1/1/2018 1:24,0,20,7
1/1/2018 1:25,0,20,7
1/1/2018 1:26,0,20,7
1/1/2018 1:27,0,20,7
1/1/2018 1:28,0,20,7
1/1/2018 1:29,0,20,7
1/1/2018 1:30,0,20,7
1/1/2018 1:31,0,20,7
1/1/2018 1:32,0,20,7
1/1/2018 1:33,0,20,7
1/1/2018 1:34,0,20,7
1/1/2018 1:35,0,20,7
1/1/2018 1:36,0,20,7
1/1/2018 1:37,0,20,7
1/1/2018 1:38,0,20,7
1/1/2018 1:39,0,20,7
1/1/2018 1:40,0,20,7
1/1/2018 1:41,0,20,7
1/1/2018 1:42,0,20,7
1/1/2018 1:43,6.435200033,20,7
1/1/2018 1:44,6.435200033,20,7
1/1/2018 1:45,6.435200033,20,7
1/1/2018 1:46,6.435200033,20,7
1/1/2018 1:47,6.435200033,20,7
1/1/2018 1:48,1.892705892,20,7
1/1/2018 1:49,0,20,7
1/1/2018 1:50,0,20,7
1/1/2018 1:51,0,20,7
1/1/2018 1:52,0,20,7
1/1/2018 1:53,0,20,7
1/1/2018 1:54,0,20,7
1/1/2018 1:55,0,20,7
1/1/2018 1:56,0,20,7
1/1/2018 1:57,0,20,7
1/1/2018 1:58,0,20,7
1/1/2018 1:59,0,20,7
1/1/2018 2:00,0,20,7
1/1/2018 2:01,0,20,7
1/1/2018 2:02,0,20,7
1/1/2018 2:03,0,20,7
1/1/2018 2:04,0,20,7
1/1/2018 2:05,0,20,7
1/1/2018 2:06,0,20,7
1/1/2018 2:07,0,20,7
1/1/2018 2:08,0,20,7
1/1/2018 2:09,0,20,7
1/1/2018 2:10,0,20,7
1/1/2018 2:11,0,20,7
1/1/2018 2:12,0,20,7
1/1/2018 2:13,0,20,7
1/1/2018 2:14,0,20,7
1/1/2018 2:15,0,20,7
1/1/2018 2:16,0,20,7
1/1/2018 2:17,0,20,7
1/1/2018 2:18,0,20,7
1/1/2018 2:19,0,20,7
1/1/2018 2:20,0,20,7
1/1/2018 2:21,0,20,7
1/1/2018 2:22,0,20,7
1/1/2018 2:23,0,20,7
1/1/2018 2:24,0,20,7
1/1/2018 2:25,0,20,7
1/1/2018 2:26,0,20,7
1/1/2018 2:27,0,20,7
1/1/2018 2:28,0,20,7
1/1/2018 2:29,0,20,7
1/1/2018 2:30,0,20,7
1/1/2018 2:31,0,20,7
1/1/2018 2:32,0,20,7
1/1/2018 2:33,0,20,7
1/1/2018 2:34,0,20,7
1/1/2018 2:35,0,20,7
1/1/2018 2:36,0,20,7
1/1/2018 2:37,0,20,7
1/1/2018 2:38,0,20,7
1/1/2018 2:39,0,20,7
1/1/2018 2:40,0,20,7
1/1/2018 2:41,0,20,7
1/1/2018 2:42,0,20,7
1/1/2018 2:43,0,20,7
1/1/2018 2:44,0,20,7
1/1/2018 2:45,0,20,7
1/1/2018 2:46,0,20,7
1/1/2018 2:47,0,20,7
1/1/2018 2:48,0,20,7
1/1/2018 2:49,0,20,7
1/1/2018 2:50,0,20,7
1/1/2018 2:51,0,20,7
1/1/2018 2:52,0,20,7
1/1/2018 2:53,0,20,7
1/1/2018 2:54,0,20,7
1/1/2018 2:55,0,20,7
1/1/2018 2:56,0,20,7
1/1/2018 2:57,0,20,7
1/1/2018 2:58,0,20,7
1/1/2018 2:59,0,20,7
1/1/2018 3:00,0,20,7
1/1/2018 3:01,0,20,7
1/1/2018 3:02,0,20,7
1/1/2018 3:03,0,20,7
1/1/2018 3:04,0,20,7
1/1/2018 3:05,0,20,7
1/1/2018 3:06,0,20,7
1/1/2018 3:07,0,20,7
1/1/2018 3:08,0,20,7
1/1/2018 3:09,0,20,7
1/1/2018 3:10,0,20,7
1/1/2018 3:11,0,20,7
1/1/2018 3:12,0,20,7
1/1/2018 3:13,0,20,7
1/1/2018 3:14,0,20,7
1/1/2018 3:15,0,20,7
1/1/2018 3:16,0,20,7
1/1/2018 3:17,0,20,7
1/1/2018 3:18,0,20,7
1/1/2018 3:19,0,20,7
1/1/2018 3:20,0,20,7
